#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
86,Cade Cunningham,DET,10,34.3,26.9,9.6,19.4,0.495,2.2,5.5,0.4,5.5,6.2,0.887,0.4,5.0,5.4,8.3,1.4,0.7,5.2,3.5
87,Quentin Grimes,PHL,10,32.5,21.1,7.9,15.3,0.516,2.8,6.9,0.406,2.5,3.3,0.758,1.0,3.6,4.6,3.7,1.8,0.7,2.8,2.1
88,Devin Vassell,SAS,10,31.7,16.9,6.5,14.6,0.445,2.5,7.2,0.347,1.4,1.6,0.875,0.5,4.8,5.3,3.4,1.6,0.7,1.1,1.8
89,Nick Richards,PHX,10,23.9,12.2,5.3,7.8,0.679,0.0,0.0,0.0,1.6,1.8,0.889,2.0,7.1,9.1,0.8,0.1,0.7,1.2,2.7
90,Tari Eason,HOU,10,28.5,14.0,5.8,11.9,0.487,1.6,4.5,0.356,0.8,1.0,0.8,2.5,3.8,6.3,2.1,1.5,0.7,1.7,2.8
91,Austin Reaves,LAL,10,32.8,16.8,4.5,12.3,0.366,2.2,6.8,0.324,5.6,6.4,0.875,1.1,2.7,3.8,4.9,0.7,0.7,2.3,2.2
92,Keegan Murray,SAC,10,32.7,14.2,5.4,11.1,0.486,2.6,6.5,0.4,0.8,0.9,0.889,1.7,3.7,5.4,1.3,0.6,0.7,0.4,2.5
93,Malik Monk,SAC,10,33.9,16.0,6.1,14.7,0.415,2.0,6.6,0.303,1.8,2.1,0.857,0.5,3.2,3.7,6.3,0.9,0.7,3.2,2.2
94,Brandon Miller,CHA,10,34.0,20.4,7.0,17.3,0.405,3.6,10.8,0.333,2.8,3.4,0.824,0.8,3.5,4.3,3.8,0.6,0.7,2.9,2.9
95,Orlando Robinson,TOR,10,22.2,9.4,3.5,7.4,0.473,0.5,1.3,0.385,1.9,2.2,0.864,3.3,3.6,6.9,2.2,0.7,0.7,1.5,2.0
96,Moe Wagner,ORL,10,18.2,12.2,4.5,7.9,0.57,0.9,2.2,0.409,2.3,3.7,0.622,1.3,4.2,5.5,1.4,1.1,0.7,1.6,1.7
97,Nickeil Alexander-Walker,MIN,10,28.4,11.3,3.8,8.6,0.442,2.0,5.0,0.4,1.7,2.2,0.773,0.4,2.3,2.7,2.7,1.1,0.7,0.8,1.3
98,Bol Bol,PHX,10,19.2,10.4,4.0,7.4,0.541,1.5,3.8,0.395,0.9,1.0,0.9,0.6,3.9,4.5,1.1,0.3,0.7,0.6,1.2
99,Zaccharie Risacher,ATL,10,27.1,12.5,4.7,9.6,0.49,2.2,5.0,0.44,0.9,1.3,0.692,0.8,3.5,4.3,1.3,0.7,0.7,2.1,1.5
100,Jerami Grant,POR,10,34.1,13.5,4.2,12.6,0.333,2.3,7.3,0.315,2.8,3.3,0.848,0.7,3.4,4.1,1.9,1.4,0.7,1.6,2.3
101,Charles Bassey,SAS,10,11.6,5.0,2.2,3.4,0.647,0.0,0.0,0.0,0.6,0.8,0.75,2.0,3.2,5.2,0.6,0.7,0.7,0.6,1.3
102,Tristan Vukcevic,WAS,10,13.3,8.5,3.0,6.0,0.5,1.0,3.0,0.333,1.5,1.8,0.833,0.8,3.4,4.2,0.9,0.5,0.7,1.1,1.8
103,Kevon Looney,GOS,10,13.6,4.2,1.7,3.5,0.486,0.0,0.1,0.0,0.8,1.2,0.667,1.7,3.0,4.7,1.1,0.6,0.7,0.6,2.2
104,Noah Clowney,BRK,10,24.6,9.1,2.7,8.6,0.314,2.0,6.6,0.303,1.7,2.1,0.81,1.0,2.7,3.7,0.4,0.7,0.7,1.0,1.1
105,Taj Gibson,CHA,10,12.8,3.6,1.6,3.3,0.485,0.0,0.0,0.0,0.4,0.6,0.667,2.0,2.7,4.7,0.7,0.2,0.7,1.0,1.9
106,DaQuan Jeffries,CHA,10,22.2,5.6,2.1,6.1,0.344,0.9,3.6,0.25,0.5,0.6,0.833,0.7,1.6,2.3,0.8,0.3,0.7,0.7,2.3
107,Killian Hayes,BRK,6,27.1,9.0,3.0,7.2,0.419,1.3,3.5,0.381,1.7,2.0,0.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2
108,Desmond Bane,MEM,10,36.1,20.6,7.2,16.3,0.442,1.7,5.8,0.293,4.5,4.8,0.938,1.1,6.9,8.0,6.0,1.3,0.6,2.2,2.4
109,Jaden McDaniels,MIN,10,35.8,18.3,7.4,14.2,0.521,1.5,4.3,0.349,2.0,2.1,0.952,2.5,5.4,7.9,3.3,1.6,0.6,0.9,2.2
110,Tyler Herro,MIA,10,36.1,23.7,8.7,20.1,0.433,2.4,8.2,0.293,3.9,4.5,0.867,0.5,4.3,4.8,6.6,1.1,0.6,1.9,0.7
111,Jalen Johnson,ATL,10,32.9,16.7,6.8,13.7,0.496,0.5,2.7,0.185,2.6,3.5,0.743,1.8,7.9,9.7,4.0,2.0,0.6,2.1,1.6
112,Zach Collins,CHI,10,26.2,12.9,4.8,8.6,0.558,1.0,3.2,0.313,2.3,2.7,0.852,3.1,5.8,8.9,3.0,1.0,0.6,1.4,2.7
113,Santi Aldama,MEM,10,26.8,12.7,5.0,10.4,0.481,2.2,5.6,0.393,0.5,0.7,0.714,1.7,4.7,6.4,4.1,0.7,0.6,0.6,1.2
114,Bobby Portis,MIL,10,25.7,14.1,5.6,12.6,0.444,1.1,3.5,0.314,1.8,2.0,0.9,2.1,7.6,9.7,2.8,0.3,0.6,1.2,2.3
115,Mikal Bridges,NYK,10,35.6,16.7,7.0,13.3,0.526,1.2,4.1,0.293,1.5,1.8,0.833,0.7,2.0,2.7,4.4,0.8,0.6,1.2,1.7
116,Brandon Ingram,NOP,10,33.5,20.3,7.7,17.7,0.435,2.3,6.2,0.371,2.6,3.1,0.839,0.7,4.3,5.0,5.7,0.9,0.6,4.5,2.2
117,Yves Missi,NOP,10,26.7,10.4,4.4,7.8,0.564,0.0,0.0,0.0,1.6,2.8,0.571,3.7,4.0,7.7,1.0,0.7,0.6,1.1,1.5
118,Aaron Nesmith,IND,10,30.4,15.1,5.7,11.4,0.5,2.4,6.3,0.381,1.3,1.4,0.929,0.8,3.6,4.4,1.4,0.7,0.6,1.1,2.2
119,"Wendell Carter, Jr.",ORL,10,27.7,9.6,3.6,8.0,0.45,0.6,2.3,0.261,1.8,2.2,0.818,3.4,5.7,9.1,1.8,0.7,0.6,1.7,3.7
120,Toumani Camara,POR,10,34.9,11.5,4.2,9.8,0.429,1.5,4.6,0.326,1.6,2.3,0.696,2.3,3.0,5.3,2.7,1.5,0.6,1.4,3.4
121,Russell Westbrook,DEN,10,28.8,13.2,5.2,12.0,0.433,1.7,4.7,0.362,1.1,1.8,0.611,2.1,2.7,4.8,3.9,1.0,0.6,2.8,2.4
122,Alex Caruso,OKC,10,18.5,7.9,2.9,5.3,0.547,1.3,2.7,0.481,0.8,0.9,0.889,0.6,1.9,2.5,2.3,1.3,0.6,0.8,1.3
123,Jalen Smith,CHI,10,15.1,8.2,3.0,6.5,0.462,1.3,4.1,0.317,0.9,1.2,0.75,1.2,4.1,5.3,1.2,0.3,0.6,0.6,1.8
124,D'Angelo Russell,BRK,10,24.2,12.3,4.3,11.6,0.371,1.9,6.8,0.279,1.8,2.6,0.692,0.4,2.0,2.4,4.3,1.1,0.6,2.1,1.9
125,Josh Okogie,CHA,10,16.2,7.6,2.5,5.6,0.446,0.9,2.3,0.391,1.7,2.1,0.81,1.1,1.6,2.7,1.0,2.0,0.6,0.9,1.2
126,Grayson Allen,PHX,10,24.3,9.4,2.9,6.3,0.46,2.0,4.5,0.444,1.6,2.2,0.727,0.2,1.8,2.0,2.7,0.5,0.6,1.3,2.1
