#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
180,Dillon Brooks,HOU,10,31.9,15.4,5.8,12.9,0.45,2.9,7.1,0.408,0.9,1.4,0.643,0.9,3.6,4.5,2.3,0.9,0.1,0.9,2.6
181,Bennedict Mathurin,IND,10,26.2,15.6,5.1,11.3,0.451,1.3,3.4,0.382,4.1,4.5,0.911,0.9,3.0,3.9,2.3,0.5,0.4,1.6,1.5
182,Alex Caruso,OKC,10,18.5,7.9,2.9,5.3,0.547,1.3,2.7,0.481,0.8,0.9,0.889,0.6,1.9,2.5,2.3,1.3,0.6,0.8,1.3
183,Haywood Highsmith,MIA,10,25.9,7.1,2.5,5.0,0.5,1.2,2.9,0.414,0.9,1.0,0.9,1.0,2.5,3.5,2.3,0.8,0.3,0.7,3.3
184,Taurean Prince,MIL,10,29.8,8.9,3.2,8.1,0.395,2.2,5.5,0.4,0.3,0.3,1.0,0.4,3.5,3.9,2.3,0.9,0.1,1.3,2.0
185,Gui Santos,GOS,10,17.4,5.8,2.3,5.0,0.46,0.4,2.1,0.19,0.8,1.0,0.8,1.6,2.2,3.8,2.3,0.7,0.5,1.0,2.7
186,Marcus Smart,WAS,10,18.2,9.2,3.2,7.1,0.451,1.2,3.4,0.353,1.6,2.0,0.8,0.3,1.2,1.5,2.3,0.9,0.1,1.2,1.7
187,"Bruce Brown, Jr.",NOP,10,22.7,6.0,2.2,6.4,0.344,0.3,1.5,0.2,1.3,1.7,0.765,1.0,2.9,3.9,2.3,1.0,0.0,0.7,1.8
188,Svi Mykhailiuk,UTA,10,21.9,7.8,2.7,8.7,0.31,1.6,5.4,0.296,0.8,1.0,0.8,0.9,1.9,2.8,2.3,0.3,0.1,1.2,1.1
189,Jaylen Nowell,NOP,8,21.0,8.4,3.3,9.1,0.356,1.0,3.4,0.296,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1
190,Kristaps Porzingis,BOS,10,31.1,19.3,6.7,14.5,0.462,2.6,6.5,0.4,3.3,4.5,0.733,1.1,5.2,6.3,2.2,1.4,2.0,1.7,3.3
191,Orlando Robinson,TOR,10,22.2,9.4,3.5,7.4,0.473,0.5,1.3,0.385,1.9,2.2,0.864,3.3,3.6,6.9,2.2,0.7,0.7,1.5,2.0
192,Jeremy Sochan,SAS,10,22.2,10.0,4.3,7.8,0.551,0.6,1.9,0.316,0.8,1.6,0.5,2.3,3.7,6.0,2.2,0.5,0.5,1.1,2.4
193,Buddy Hield,GOS,10,21.8,11.5,4.3,9.2,0.467,2.6,6.7,0.388,0.3,0.5,0.6,0.8,2.0,2.8,2.2,0.9,0.5,1.4,0.9
194,Matas Buzelis,CHI,10,28.1,11.9,4.6,10.9,0.422,1.2,5.1,0.235,1.5,1.5,1.0,1.0,3.8,4.8,2.2,0.2,0.9,1.6,2.1
195,Jeff Dowtin,PHL,10,15.6,8.2,3.2,5.5,0.582,1.2,2.0,0.6,0.6,0.9,0.667,0.4,1.2,1.6,2.2,0.5,0.1,0.3,0.6
196,Kevin Huerter,CHI,10,26.8,11.8,4.1,11.0,0.373,2.8,7.8,0.359,0.8,1.1,0.727,0.5,2.2,2.7,2.2,1.5,0.2,1.3,2.0
197,Cody Martin,CHA,10,20.7,5.4,1.9,4.8,0.396,0.6,1.5,0.4,1.0,1.4,0.714,0.9,3.1,4.0,2.2,0.8,0.5,1.0,1.6
198,Maxi Kleber,DAL,10,17.4,4.4,1.5,3.8,0.395,0.7,2.3,0.304,0.7,0.9,0.778,0.9,1.0,1.9,2.2,0.3,0.5,0.6,1.9
199,Marcus Sasser,DET,10,10.4,4.6,1.5,3.2,0.469,1.0,1.9,0.526,0.6,0.9,0.667,0.1,0.5,0.6,2.2,0.5,0.0,0.9,1.2
200,Karl-Anthony Towns,NYK,10,37.3,23.5,8.4,17.3,0.486,2.4,5.9,0.407,4.3,5.5,0.782,2.5,9.1,11.6,2.1,1.1,0.5,3.1,3.6
