#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
23,Coby White,CHI,10,34.1,25.4,9.1,19.1,0.476,3.0,9.1,0.33,4.2,4.5,0.933,0.3,4.4,4.7,4.0,1.5,0.1,2.1,2.3
24,Immanuel Quickley,TOR,10,30.9,20.0,6.5,15.1,0.43,3.0,7.8,0.385,4.0,5.0,0.8,0.4,4.1,4.5,5.1,0.6,0.1,1.5,2.3
25,Fred VanVleet,HOU,10,34.0,11.6,3.8,10.4,0.365,3.0,7.9,0.38,1.0,1.1,0.909,0.4,2.8,3.2,4.5,1.7,0.1,1.6,2.2
26,Kevin Huerter,CHI,10,27.9,13.1,4.6,11.9,0.387,3.0,8.3,0.361,0.9,1.1,0.818,0.5,2.6,3.1,2.1,1.4,0.2,1.1,2.0
27,Daeqwon Plowden,ATL,2,16.4,12.0,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5
28,Kevin Durant,PHX,10,39.4,25.0,8.9,17.9,0.497,2.9,6.8,0.426,4.3,5.1,0.843,0.4,6.2,6.6,4.5,1.0,1.1,3.3,1.7
29,Dillon Brooks,HOU,10,31.9,15.4,5.8,12.9,0.45,2.9,7.1,0.408,0.9,1.4,0.643,0.9,3.6,4.5,2.3,0.9,0.1,0.9,2.6
30,Shai Gilgeous-Alexander,OKC,10,36.1,35.6,11.9,21.8,0.546,2.8,6.4,0.438,9.0,9.9,0.909,1.1,4.3,5.4,6.8,1.3,1.1,2.8,2.5
31,Devin Booker,PHX,10,38.5,24.9,9.0,18.6,0.484,2.8,7.7,0.364,4.1,4.8,0.854,1.0,3.4,4.4,7.2,0.9,0.1,3.4,3.7
32,Quentin Grimes,PHL,10,32.5,21.1,7.9,15.3,0.516,2.8,6.9,0.406,2.5,3.3,0.758,1.0,3.6,4.6,3.7,1.8,0.7,2.8,2.1
33,OG Anunoby,NYK,10,38.9,18.0,6.2,15.0,0.413,2.8,7.7,0.364,2.8,3.5,0.8,1.6,3.6,5.2,2.9,1.4,0.8,1.6,2.1
34,Naz Reid,MIN,10,34.6,16.0,5.8,15.4,0.377,2.8,8.2,0.341,1.6,2.1,0.762,1.6,7.1,8.7,3.0,0.7,1.2,2.0,2.9
35,LaMelo Ball,CHA,10,28.7,17.6,5.6,17.0,0.329,2.8,9.4,0.298,3.6,4.0,0.9,1.2,3.9,5.1,6.2,0.8,0.3,3.0,3.1
36,Lauri Markkanen,UTA,10,32.5,17.4,6.3,15.1,0.417,2.8,8.2,0.341,2.0,2.3,0.87,1.4,4.7,6.1,0.5,0.7,0.5,1.3,1.7
37,Georges Niang,ATL,10,26.3,13.5,4.8,11.0,0.436,2.8,7.1,0.394,1.1,1.4,0.786,0.6,3.9,4.5,2.0,0.2,0.3,0.8,2.7
38,Kyrie Irving,DAL,10,36.0,25.4,8.9,20.0,0.445,2.7,7.4,0.365,4.9,5.1,0.961,1.5,3.5,5.0,3.8,1.7,0.9,1.8,1.9
39,Jamal Murray,DEN,10,38.1,21.8,7.5,16.5,0.455,2.7,6.3,0.429,4.1,4.3,0.953,0.8,2.4,3.2,6.2,1.4,0.2,1.7,1.9
40,C.J. McCollum,NOP,10,29.8,15.7,5.8,14.2,0.408,2.7,7.2,0.375,1.4,1.7,0.824,0.8,2.7,3.5,4.7,0.7,0.2,1.9,2.2
41,Victor Wembanyama,SAS,10,33.5,23.6,8.6,17.6,0.489,2.6,7.5,0.347,3.8,4.7,0.809,1.8,10.1,11.9,3.5,1.3,3.2,2.5,2.6
42,Jalen Williams,OKC,10,32.6,22.8,7.8,16.4,0.476,2.6,5.9,0.441,4.6,5.4,0.852,0.8,4.6,5.4,6.3,1.3,0.8,2.0,2.2
43,Kristaps Porzingis,BOS,10,31.1,19.3,6.7,14.5,0.462,2.6,6.5,0.4,3.3,4.5,0.733,1.1,5.2,6.3,2.2,1.4,2.0,1.7,3.3
44,Donovan Mitchell,CLE,10,30.9,25.2,7.8,18.1,0.431,2.6,7.9,0.329,7.0,8.9,0.787,1.2,3.2,4.4,4.5,0.7,0.2,2.5,1.7
45,Myles Turner,IND,10,31.1,17.1,5.7,11.6,0.491,2.6,6.5,0.4,3.1,3.7,0.838,0.5,5.1,5.6,2.1,0.9,1.7,1.2,2.2
46,Norman Powell,LAC,10,33.8,24.1,8.4,16.5,0.509,2.6,6.7,0.388,4.7,6.0,0.783,0.5,3.3,3.8,2.0,1.1,0.3,1.5,1.7
47,Cam Thomas,BRK,10,27.3,23.6,7.9,19.0,0.416,2.6,8.6,0.302,5.2,5.8,0.897,0.9,2.4,3.3,4.4,0.3,0.1,1.6,1.4
48,Max Strus,CLE,10,25.6,10.1,3.3,7.8,0.423,2.6,6.5,0.4,0.9,0.9,1.0,1.5,3.0,4.5,3.2,0.6,0.1,1.1,2.1
49,Luguentz Dort,OKC,10,30.3,10.0,3.7,9.4,0.394,2.6,7.0,0.371,0.0,0.4,0.0,1.2,2.9,4.1,1.6,1.3,0.3,0.6,2.3
50,LeBron James,LAL,10,36.6,28.3,10.7,20.5,0.522,2.5,7.3,0.342,4.4,5.4,0.815,1.7,8.8,10.5,6.4,1.0,1.1,4.2,1.6
51,Devin Vassell,SAS,10,31.7,16.9,6.5,14.6,0.445,2.5,7.2,0.347,1.4,1.6,0.875,0.5,4.8,5.3,3.4,1.6,0.7,1.1,1.8
52,Austin Reaves,LAL,10,32.7,18.1,5.1,12.5,0.408,2.5,6.5,0.385,5.4,6.0,0.9,1.0,3.1,4.1,4.1,0.6,0.7,2.5,2.2
53,Keegan Murray,SAC,10,32.6,13.5,5.1,11.0,0.464,2.5,6.4,0.391,0.8,0.9,0.889,1.6,3.4,5.0,1.2,0.5,0.9,0.5,2.3
54,Jaden Ivey,DET,10,27.5,15.6,5.7,12.4,0.46,2.5,5.5,0.455,1.7,2.2,0.773,1.2,2.3,3.5,3.3,0.9,0.2,2.6,1.4
55,Harrison Barnes,SAS,10,25.6,12.9,4.5,7.9,0.57,2.5,4.8,0.521,1.4,2.3,0.609,1.0,1.8,2.8,1.3,0.3,0.2,0.7,0.8
56,Buddy Hield,GOS,10,21.2,10.9,4.1,9.1,0.451,2.5,6.5,0.385,0.2,0.5,0.4,0.8,2.1,2.9,2.5,0.9,0.5,1.4,0.6
57,Josh Giddey,CHI,10,34.6,22.5,7.5,14.4,0.521,2.4,4.4,0.545,5.1,6.0,0.85,2.1,7.9,10.0,7.9,1.0,1.0,3.0,2.3
58,Tyler Herro,MIA,10,36.1,23.7,8.7,20.1,0.433,2.4,8.2,0.293,3.9,4.5,0.867,0.5,4.3,4.8,6.6,1.1,0.6,1.9,0.7
59,Karl-Anthony Towns,NYK,10,37.3,23.5,8.4,17.3,0.486,2.4,5.9,0.407,4.3,5.5,0.782,2.5,9.1,11.6,2.1,1.1,0.5,3.1,3.6
60,Dejounte Murray,NOP,10,31.3,20.0,6.5,16.1,0.404,2.4,6.4,0.375,4.6,5.5,0.836,0.6,6.4,7.0,6.6,1.1,0.2,2.6,1.5
61,Aaron Nesmith,IND,10,30.4,15.1,5.7,11.4,0.5,2.4,6.3,0.381,1.3,1.4,0.929,0.8,3.6,4.4,1.4,0.7,0.6,1.1,2.2
62,Ziaire Williams,BRK,10,26.6,12.1,4.3,9.7,0.443,2.4,6.6,0.364,1.1,1.3,0.846,1.2,3.2,4.4,1.2,0.9,0.5,0.7,2.5
63,Al Horford,BOS,10,31.6,11.4,4.1,8.9,0.461,2.3,5.5,0.418,0.9,1.0,0.9,1.6,6.4,8.0,2.3,0.9,1.0,0.8,1.3
64,Darius Garland,CLE,10,31.0,17.2,5.9,15.9,0.371,2.3,7.9,0.291,3.1,3.4,0.912,0.6,2.3,2.9,6.8,1.5,0.0,1.8,1.6
65,Trey Murphy III,NOP,10,35.2,19.5,6.9,15.8,0.437,2.3,7.9,0.291,3.4,3.9,0.872,1.2,3.5,4.7,3.3,0.9,1.0,2.7,1.8
66,Brandon Ingram,NOP,10,33.5,20.3,7.7,17.7,0.435,2.3,6.2,0.371,2.6,3.1,0.839,0.7,4.3,5.0,5.7,0.9,0.6,4.5,2.2
67,Royce O'Neale,PHX,10,22.6,7.4,2.5,5.7,0.439,2.3,5.0,0.46,0.1,0.2,0.5,0.7,3.0,3.7,2.8,1.0,0.3,0.5,1.3
68,Lonzo Ball,CHI,10,25.9,10.2,3.3,8.9,0.371,2.3,6.4,0.359,1.3,1.5,0.867,1.2,2.2,3.4,2.4,0.7,0.4,1.1,1.5
69,Jordan Hawkins,NOP,10,24.8,12.5,4.7,10.6,0.443,2.3,6.5,0.354,0.8,1.1,0.727,0.9,2.5,3.4,1.4,0.6,0.5,1.5,1.2
70,Jerami Grant,POR,10,34.1,13.5,4.2,12.6,0.333,2.3,7.3,0.315,2.8,3.3,0.848,0.7,3.4,4.1,1.9,1.4,0.7,1.6,2.3
71,Paolo Banchero,ORL,10,35.1,27.9,9.2,18.7,0.492,2.2,5.9,0.373,7.3,9.1,0.802,0.9,5.6,6.5,4.1,1.4,0.6,2.5,2.3
72,R.J. Barrett,TOR,10,32.3,21.5,7.8,16.2,0.481,2.2,5.4,0.407,3.7,5.9,0.627,1.2,5.0,6.2,5.6,0.8,0.2,2.8,2.0
73,Santi Aldama,MEM,10,26.8,12.7,5.0,10.4,0.481,2.2,5.6,0.393,0.5,0.7,0.714,1.7,4.7,6.4,4.1,0.7,0.6,0.6,1.2
74,Kawhi Leonard,LAC,10,35.8,21.8,8.3,18.1,0.459,2.2,6.1,0.361,3.0,4.0,0.75,1.4,4.5,5.9,3.2,1.8,0.4,2.3,2.0
75,Cameron Johnson,BRK,10,31.7,18.0,5.9,13.6,0.434,2.2,6.4,0.344,4.0,4.7,0.851,1.3,3.3,4.6,3.5,1.8,0.3,1.8,2.5
76,Kyshawn George,WAS,10,30.7,10.8,3.7,9.6,0.385,2.2,6.1,0.361,1.2,1.5,0.8,0.4,4.3,4.7,3.4,1.4,1.7,2.4,3.4
77,Bogdan Bogdanovic,LAC,10,28.9,13.6,5.1,11.2,0.455,2.2,6.0,0.367,1.2,1.3,0.923,0.6,3.5,4.1,3.3,0.2,0.3,1.9,2.6
78,Zaccharie Risacher,ATL,10,27.1,12.5,4.7,9.6,0.49,2.2,5.0,0.44,0.9,1.3,0.692,0.8,3.5,4.3,1.3,0.7,0.7,2.1,1.5
79,Tyrese Martin,BRK,10,22.6,11.7,4.2,9.7,0.433,2.2,5.5,0.4,1.1,1.1,1.0,1.4,1.7,3.1,1.7,0.7,0.3,0.9,1.1
80,Eric Gordon,PHL,10,24.3,9.1,3.0,6.2,0.484,2.2,4.3,0.512,0.9,1.3,0.692,0.2,1.1,1.3,2.8,0.7,0.4,0.7,0.8
81,Jared McCain,PHL,10,31.6,15.4,5.5,12.5,0.44,2.2,6.2,0.355,2.2,2.9,0.759,0.7,2.1,2.8,2.7,0.8,0.0,2.4,1.9
82,De'Anthony Melton,GOS,6,20.2,10.3,3.7,9.0,0.407,2.2,5.8,0.371,0.8,1.3,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0
83,Jalen Brunson,NYK,10,36.3,26.6,9.7,19.8,0.49,2.1,6.6,0.318,5.1,5.9,0.864,0.3,3.3,3.6,7.1,1.0,0.2,3.0,2.2
84,Kyle Filipowski,UTA,10,24.4,15.7,5.7,10.9,0.523,2.1,4.4,0.477,2.2,3.4,0.647,2.2,6.0,8.2,2.7,0.7,0.3,2.0,3.0
85,Tyrese Maxey,PHL,10,36.4,20.2,7.2,18.2,0.396,2.1,7.4,0.284,3.7,4.0,0.925,0.4,2.5,2.9,5.6,1.2,0.4,2.0,1.9
86,Rui Hachimura,LAL,10,33.2,15.9,6.0,11.8,0.508,2.1,5.7,0.368,1.8,2.5,0.72,1.3,4.4,5.7,1.6,0.5,0.3,0.6,1.9
87,Caris LeVert,ATL,10,28.6,17.0,6.7,13.2,0.508,2.1,5.9,0.356,1.5,2.0,0.75,0.4,2.5,2.9,2.4,1.2,0.4,1.0,1.5
88,De'Andre Hunter,CLE,10,24.9,14.1,4.4,8.7,0.506,2.1,4.3,0.488,3.2,3.8,0.842,0.8,3.8,4.6,1.5,0.1,0.4,0.8,1.8
89,Tyus Jones,PHX,10,22.0,7.4,2.5,5.7,0.439,2.1,4.0,0.525,0.3,0.3,1.0,0.1,2.1,2.2,5.0,0.7,0.0,1.0,0.4
90,Vit Krejci,ATL,10,23.2,9.2,3.2,6.3,0.508,2.1,4.8,0.438,0.7,1.2,0.583,0.3,3.3,3.6,2.4,0.6,0.5,1.1,2.3
91,Isaiah Joe,OKC,10,17.5,8.5,2.7,6.6,0.409,2.1,5.2,0.404,1.0,1.0,1.0,0.7,1.7,2.4,2.0,0.6,0.3,0.4,1.7
92,Jaylen Wells,MEM,10,28.2,8.8,3.1,8.7,0.356,2.1,6.2,0.339,0.5,1.0,0.5,1.3,2.8,4.1,2.1,0.5,0.2,1.2,1.8
93,"Gary Trent, Jr.",MIL,10,23.8,11.7,4.2,9.8,0.429,2.1,5.7,0.368,1.2,1.4,0.857,0.5,1.6,2.1,1.1,0.8,0.0,0.8,1.6
94,Sam Hauser,BOS,10,22.7,7.7,2.7,6.6,0.409,2.1,5.4,0.389,0.2,0.2,1.0,1.0,2.2,3.2,0.7,0.3,0.2,0.4,1.2
95,Aaron Gordon,DEN,10,27.2,14.4,5.3,10.5,0.505,2.0,3.9,0.513,1.8,2.3,0.783,1.5,3.1,4.6,4.1,0.5,0.3,0.7,1.4
96,"Michael Porter, Jr.",DEN,10,36.1,16.2,6.4,14.3,0.448,2.0,6.1,0.328,1.4,1.9,0.737,2.1,6.6,8.7,1.7,0.5,0.3,1.0,2.4
97,Shaedon Sharpe,POR,10,33.8,19.7,7.5,16.1,0.466,2.0,6.3,0.317,2.7,3.4,0.794,1.7,4.3,6.0,3.2,0.5,0.2,2.6,2.0
98,Paul George,PHL,10,34.1,14.2,5.4,12.1,0.446,2.0,6.2,0.323,1.4,1.8,0.778,0.4,4.5,4.9,3.5,2.1,0.8,2.3,2.3
99,Aaron Wiggins,OKC,10,25.6,13.9,5.7,12.3,0.463,2.0,5.4,0.37,0.5,0.8,0.625,1.4,3.4,4.8,1.8,0.9,0.2,0.9,1.0
100,Nickeil Alexander-Walker,MIN,10,28.4,11.3,3.8,8.6,0.442,2.0,5.0,0.4,1.7,2.2,0.773,0.4,2.3,2.7,2.7,1.1,0.7,0.8,1.3
101,Nikola Jovic,MIA,10,28.8,11.7,4.5,9.3,0.484,2.0,5.5,0.364,0.7,1.1,0.636,0.4,3.3,3.7,3.2,0.7,0.2,1.7,2.3
102,Scoot Henderson,POR,10,28.6,15.9,5.5,12.7,0.433,2.0,5.3,0.377,2.9,4.0,0.725,1.0,2.3,3.3,4.3,1.0,0.1,3.0,3.2
103,Quinten Post,GOS,10,20.4,9.8,3.6,8.6,0.419,2.0,4.9,0.408,0.6,1.0,0.6,1.1,3.8,4.9,1.4,0.9,1.0,1.2,3.0
104,Grayson Allen,PHX,10,24.3,9.4,2.9,6.3,0.46,2.0,4.5,0.444,1.6,2.2,0.727,0.2,1.8,2.0,2.7,0.5,0.6,1.3,2.1
105,Noah Clowney,BRK,10,24.6,9.1,2.7,8.6,0.314,2.0,6.6,0.303,1.7,2.1,0.81,1.0,2.7,3.7,0.4,0.7,0.7,1.0,1.1
106,Pascal Siakam,IND,10,31.6,21.6,8.3,16.2,0.512,1.9,5.1,0.373,3.1,4.9,0.633,1.6,5.6,7.2,2.9,0.7,0.4,1.8,2.2
107,Chris Paul,SAS,10,25.9,7.6,2.6,5.7,0.456,1.9,4.0,0.475,0.5,0.6,0.833,0.3,1.6,1.9,7.3,1.3,0.3,1.3,1.4
108,Ty Jerome,CLE,10,21.9,14.7,4.8,10.5,0.457,1.9,3.9,0.487,3.2,3.5,0.914,0.8,2.6,3.4,2.7,1.5,0.0,1.4,1.8
109,Mike Conley,MIN,10,23.1,8.6,2.8,5.4,0.519,1.9,3.9,0.487,1.1,1.1,1.0,0.4,1.8,2.2,4.0,1.0,0.2,1.0,2.2
110,Jalen Suggs,ORL,10,25.1,16.8,6.1,15.1,0.404,1.9,6.4,0.297,2.7,3.4,0.794,0.9,3.4,4.3,3.2,1.4,1.0,3.2,3.0
111,Dalton Knecht,LAL,10,20.6,9.8,3.8,7.4,0.514,1.9,4.7,0.404,0.3,0.8,0.375,0.5,2.4,2.9,1.0,0.4,0.2,0.5,1.1
