#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
113,Isaiah Hartenstein,OKC,5,27.1,11.8,5.0,8.4,0.595,0.0,0.2,0.0,1.8,2.0,0.9,1.6,7.2,8.8,2.8,1.0,0.4,0.8,3.2
114,Santi Aldama,MEM,5,28.1,12.4,5.2,10.6,0.491,2.0,5.6,0.357,0.0,0.0,0.0,1.0,5.0,6.0,4.4,1.0,0.4,0.8,1.4
115,Josh Hart,NYK,5,39.2,12.6,4.6,11.8,0.39,1.8,5.2,0.346,1.6,2.6,0.615,2.2,8.8,11.0,4.6,1.0,0.0,2.6,2.2
116,Kyle Filipowski,UTA,5,23.8,16.0,6.2,11.6,0.534,1.4,4.2,0.333,2.2,3.2,0.688,2.8,4.8,7.6,1.8,1.0,0.4,1.0,2.8
117,Tobias Harris,DET,5,32.3,15.4,5.8,11.6,0.5,1.2,3.0,0.4,2.6,3.0,0.867,1.0,7.0,8.0,2.0,1.0,0.4,1.2,2.0
118,Anfernee Simons,POR,5,36.0,23.2,9.0,19.0,0.474,3.2,9.4,0.34,2.0,2.0,1.0,0.2,2.6,2.8,3.6,1.0,0.0,1.6,1.2
119,LaMelo Ball,CHA,5,32.0,21.2,6.8,20.8,0.327,3.2,10.8,0.296,4.4,5.0,0.88,1.6,4.0,5.6,7.8,1.0,0.4,3.6,4.2
120,C.J. McCollum,NOP,5,30.4,17.6,6.6,14.6,0.452,3.6,7.8,0.462,0.8,1.0,0.8,0.8,2.4,3.2,4.8,1.0,0.2,2.2,1.8
121,Brandon Clarke,MEM,5,21.9,10.2,4.2,7.0,0.6,0.0,0.0,0.0,1.8,2.2,0.818,2.6,4.4,7.0,1.2,1.0,1.2,0.4,2.6
122,Franz Wagner,ORL,5,36.6,20.8,8.0,18.2,0.44,1.0,4.0,0.25,3.8,4.4,0.864,0.8,4.2,5.0,3.6,1.0,0.2,1.6,2.8
123,Kyshawn George,WAS,5,31.3,12.6,4.4,10.8,0.407,2.2,6.4,0.344,1.6,1.8,0.889,0.4,5.4,5.8,3.0,1.0,2.0,1.8,3.2
124,Norman Powell,LAC,5,32.0,22.2,7.6,16.6,0.458,2.4,7.2,0.333,4.6,6.0,0.767,0.4,2.4,2.8,2.0,1.0,0.0,1.8,1.6
125,Brandon Miller,CHA,5,33.4,18.8,6.6,17.0,0.388,3.8,10.4,0.365,1.8,2.6,0.692,0.8,2.6,3.4,4.4,1.0,0.6,2.4,2.8
126,D'Angelo Russell,BRK,5,25.0,11.6,4.0,10.4,0.385,2.0,6.8,0.294,1.6,2.4,0.667,0.4,1.6,2.0,5.4,1.0,0.8,1.4,1.6
127,Clint Capela,ATL,5,16.9,7.4,3.4,7.0,0.486,0.0,0.0,0.0,0.6,1.2,0.5,3.2,3.8,7.0,0.8,1.0,1.0,0.2,1.8
128,Yves Missi,NOP,5,26.7,9.0,3.4,6.0,0.567,0.0,0.0,0.0,2.2,3.6,0.611,3.2,2.6,5.8,1.4,1.0,0.6,1.4,1.4
129,Moe Wagner,ORL,5,16.5,13.0,4.6,7.2,0.639,1.2,2.4,0.5,2.6,4.2,0.619,0.6,2.4,3.0,1.4,1.0,0.2,1.2,1.6
130,Nicolas Batum,LAC,5,29.6,9.0,3.0,5.6,0.536,2.6,5.0,0.52,0.4,0.4,1.0,0.4,2.6,3.0,0.6,1.0,1.4,0.8,1.6
131,Aaron Wiggins,OKC,5,24.5,11.6,4.8,11.4,0.421,1.4,4.6,0.304,0.6,0.8,0.75,0.8,3.2,4.0,1.8,1.0,0.2,0.6,0.4
132,Isaiah Collier,UTA,5,29.4,11.4,3.8,8.2,0.463,0.4,1.6,0.25,3.4,5.2,0.654,0.4,3.4,3.8,6.4,1.0,0.0,4.4,2.8
133,Jake LaRavia,SAC,5,25.0,8.2,3.0,7.2,0.417,1.6,3.8,0.421,0.6,0.8,0.75,2.2,2.6,4.8,1.8,1.0,0.0,0.6,2.4
134,Micah Potter,UTA,5,19.7,7.0,2.6,5.8,0.448,1.2,3.6,0.333,0.6,0.8,0.75,1.6,3.4,5.0,1.0,1.0,0.4,0.8,1.4
135,Javonte Green,CLE,5,13.6,6.0,2.4,3.8,0.632,1.0,2.0,0.5,0.2,0.6,0.333,0.2,3.2,3.4,0.8,1.0,0.2,0.2,0.8
136,Jared McCain,PHL,5,27.6,12.8,5.2,10.2,0.51,2.2,4.6,0.478,0.2,0.6,0.333,0.6,1.6,2.2,2.8,1.0,0.0,2.4,2.4
137,Max Christie,DAL,5,32.4,10.2,3.6,10.6,0.34,2.4,7.2,0.333,0.6,0.6,1.0,0.2,3.4,3.6,3.0,1.0,0.2,1.6,1.2
138,Kentavious Caldwell-Pope,ORL,5,31.1,10.4,4.2,7.2,0.583,1.0,2.4,0.417,1.0,1.2,0.833,0.2,2.4,2.6,1.4,1.0,0.2,1.4,2.0
139,Keon Johnson,BRK,5,24.2,8.0,2.6,5.6,0.464,1.2,3.0,0.4,1.6,2.6,0.615,0.4,3.8,4.2,2.0,1.0,0.2,1.6,2.2
140,"Bruce Brown, Jr.",NOP,5,23.0,5.8,2.2,5.8,0.379,0.4,1.6,0.25,1.0,1.2,0.833,1.0,3.2,4.2,2.4,1.0,0.0,0.6,1.4
141,Terry Rozier,MIA,5,22.1,8.6,2.8,7.8,0.359,1.8,4.8,0.375,1.2,1.4,0.857,0.6,2.2,2.8,1.4,1.0,0.0,1.0,0.6
142,Eric Gordon,PHL,5,19.3,6.0,2.2,5.0,0.44,1.4,3.0,0.467,0.2,0.4,0.5,0.4,1.0,1.4,2.4,1.0,0.2,1.0,0.6
143,Haywood Highsmith,MIA,5,25.0,6.2,2.4,5.6,0.429,0.6,2.8,0.214,0.8,0.8,1.0,0.8,2.8,3.6,2.2,1.0,0.0,0.8,3.6
144,Malik Beasley,DET,5,28.2,14.0,5.2,12.8,0.406,3.0,9.0,0.333,0.6,1.2,0.5,0.4,1.4,1.8,0.8,1.0,0.2,1.0,2.4
145,Alex Reese,PHL,5,13.0,3.8,1.4,3.2,0.438,0.4,2.0,0.2,0.6,1.0,0.6,1.0,2.6,3.6,0.2,1.0,1.2,0.6,1.4
146,Duop Reath,POR,5,17.6,4.2,1.4,5.6,0.25,1.0,5.0,0.2,0.4,0.4,1.0,1.0,1.6,2.6,1.2,1.0,0.8,0.6,0.8
147,Anthony Black,ORL,5,17.4,6.8,2.0,5.4,0.37,0.6,1.6,0.375,2.2,3.2,0.688,0.4,1.6,2.0,1.4,1.0,0.4,1.2,1.8
148,Trevelin Queen,ORL,5,9.1,3.2,1.0,4.8,0.208,0.0,2.2,0.0,1.2,1.2,1.0,1.0,1.0,2.0,0.6,1.0,0.4,0.2,0.4
149,LeBron James,LAL,5,36.9,26.4,10.0,20.4,0.49,2.0,7.4,0.27,4.4,5.4,0.815,1.2,9.2,10.4,7.0,0.8,0.8,3.6,1.8
150,Anthony Edwards,MIN,5,34.4,22.8,7.6,15.6,0.487,3.6,8.8,0.409,4.0,5.4,0.741,0.4,5.2,5.6,4.4,0.8,0.2,2.0,1.4
