#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
20,Evan Mobley,CLE,5,32.7,18.2,7.2,12.4,0.581,1.4,3.6,0.389,2.4,4.0,0.6,2.4,7.6,10.0,3.6,1.0,1.4,2.6,1.0
21,Scottie Barnes,TOR,5,27.9,18.2,6.4,16.6,0.386,0.6,3.0,0.2,4.8,6.6,0.727,3.4,6.6,10.0,4.0,2.0,0.8,2.2,0.6
22,Bam Adebayo,MIA,5,37.5,17.8,6.4,13.6,0.471,0.8,3.0,0.267,4.2,5.0,0.84,2.0,7.8,9.8,4.6,1.8,0.2,1.6,2.0
23,Donovan Clingan,POR,5,25.9,6.8,2.8,5.6,0.5,0.2,1.2,0.167,1.0,1.8,0.556,3.2,6.6,9.8,2.4,0.2,2.2,1.4,3.2
24,Nikola Vucevic,CHI,5,29.4,15.2,6.0,12.6,0.476,1.4,3.2,0.438,1.8,2.0,0.9,1.8,7.8,9.6,2.2,0.0,0.2,2.8,2.4
25,Orlando Robinson,TOR,5,28.3,13.2,4.6,10.6,0.434,0.8,1.6,0.5,3.2,4.0,0.8,4.0,5.4,9.4,3.6,0.8,1.2,1.4,2.6
26,Zach Collins,CHI,5,23.9,11.4,4.2,7.2,0.583,1.2,2.6,0.462,1.8,2.0,0.9,2.2,7.2,9.4,2.4,1.0,1.2,1.2,3.2
27,Luka Doncic,LAL,5,38.2,32.6,10.2,23.4,0.436,5.0,11.6,0.431,7.2,9.4,0.766,0.8,8.4,9.2,9.0,2.0,0.4,5.2,2.0
28,Al Horford,BOS,5,33.8,14.4,5.0,10.2,0.49,2.2,5.8,0.379,2.2,2.4,0.917,2.2,6.8,9.0,3.8,1.4,1.2,1.4,1.4
29,Alperen Sengun,HOU,5,32.8,18.4,7.4,11.4,0.649,0.4,0.6,0.667,3.2,4.6,0.696,4.2,4.6,8.8,5.8,1.4,0.8,3.8,3.4
30,Jarrett Allen,CLE,5,29.5,13.6,4.8,8.2,0.585,0.0,0.0,0.0,4.0,5.4,0.741,2.2,6.6,8.8,1.6,1.8,1.6,1.2,1.8
31,Tobias Harris,DET,5,34.4,15.8,5.8,12.0,0.483,1.2,3.0,0.4,3.0,3.6,0.833,1.2,7.6,8.8,2.0,1.4,0.6,1.4,2.0
32,Domantas Sabonis,SAC,5,24.8,9.2,3.6,8.0,0.45,0.2,2.2,0.091,1.8,2.4,0.75,1.2,7.6,8.8,6.6,1.0,0.4,2.6,1.6
33,Isaiah Hartenstein,OKC,5,27.1,11.8,5.0,8.4,0.595,0.0,0.2,0.0,1.8,2.0,0.9,1.6,7.2,8.8,2.8,1.0,0.4,0.8,3.2
