#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
41,Orlando Robinson,TOR,5,28.3,13.2,4.6,10.6,0.434,0.8,1.6,0.5,3.2,4.0,0.8,4.0,5.4,9.4,3.6,0.8,1.2,1.4,2.6
42,Zach Collins,CHI,5,23.9,11.4,4.2,7.2,0.583,1.2,2.6,0.462,1.8,2.0,0.9,2.2,7.2,9.4,2.4,1.0,1.2,1.2,3.2
43,Tari Eason,HOU,5,29.1,16.6,6.6,13.0,0.508,1.6,5.0,0.32,1.8,2.0,0.9,1.4,4.4,5.8,2.0,1.6,1.2,1.6,2.0
44,Deandre Ayton,POR,5,29.0,13.4,5.4,11.8,0.458,0.0,0.2,0.0,2.6,3.2,0.813,3.8,6.4,10.2,2.0,0.6,1.2,1.8,3.0
45,Kessler Edwards,DAL,5,31.6,14.4,5.4,9.8,0.551,1.8,3.2,0.563,1.8,2.0,0.9,1.2,4.0,5.2,1.6,1.0,1.2,0.8,2.6
46,Grant Williams,CHA,5,34.1,11.4,3.6,8.2,0.439,1.4,3.8,0.368,2.8,3.0,0.933,1.6,5.0,6.6,2.4,0.6,1.2,1.4,2.4
47,Nicolas Batum,LAC,5,29.2,10.2,3.6,7.0,0.514,3.0,5.8,0.517,0.0,0.0,0.0,1.0,2.8,3.8,1.0,1.0,1.2,1.0,1.2
48,Day'Ron Sharpe,BRK,5,17.4,5.8,2.4,5.0,0.48,0.2,0.6,0.333,0.8,1.2,0.667,2.2,3.4,5.6,1.4,1.0,1.2,0.8,1.2
49,Mohamed Bamba,NOP,5,11.7,6.2,2.2,3.8,0.579,1.0,1.8,0.556,0.8,1.2,0.667,1.0,2.6,3.6,0.4,0.0,1.2,0.6,1.8
50,Jonathan Isaac,ORL,5,13.2,5.2,1.6,3.2,0.5,0.8,1.8,0.444,1.2,2.0,0.6,0.8,1.4,2.2,0.6,1.4,1.2,0.6,1.8
51,Nikola Jokic,DEN,5,40.4,30.4,11.8,20.8,0.567,1.6,5.8,0.276,5.2,7.8,0.667,2.4,11.0,13.4,9.6,1.8,1.0,2.8,3.6
