#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
120,Jalen Duren,DET,64,25.9,11.5,4.8,6.8,0.699,0.0,0.0,0.0,2.0,2.9,0.689,3.5,6.9,10.4,2.5,0.8,1.2,1.8,3.2
121,Aaron Wiggins,OKC,66,22.5,11.4,4.5,9.1,0.492,1.7,4.2,0.389,0.8,1.0,0.828,1.1,2.7,3.8,1.6,0.8,0.3,0.9,1.3
122,Duncan Robinson,MIA,62,24.6,11.2,4.0,9.2,0.434,2.6,6.6,0.388,0.7,0.8,0.894,0.2,2.1,2.4,2.6,0.5,0.1,1.2,1.9
123,Jonas Valanciunas,SAC,64,20.1,11.1,4.5,8.3,0.545,0.1,0.5,0.25,1.9,2.2,0.865,2.5,5.8,8.3,2.2,0.5,0.6,1.6,2.2
124,Rudy Gobert,MIN,57,33.0,11.1,4.3,6.6,0.654,0.0,0.0,0.0,2.4,3.6,0.685,3.5,6.9,10.4,1.9,0.7,1.5,1.3,2.4
125,Jordan Hawkins,NOP,49,23.3,10.9,3.8,9.9,0.379,2.0,5.8,0.338,1.4,1.7,0.831,0.5,2.2,2.7,1.1,0.6,0.4,1.0,0.8
126,Jaylen Wells,MEM,66,26.1,10.9,3.8,8.8,0.433,1.8,5.1,0.363,1.3,1.7,0.809,1.1,2.2,3.3,1.7,0.6,0.1,1.0,1.8
127,Nikola Jovic,MIA,46,25.1,10.7,3.7,8.2,0.456,1.7,4.6,0.371,1.6,1.9,0.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8
128,Grayson Allen,PHX,53,24.8,10.7,3.4,7.6,0.45,2.4,5.6,0.434,1.5,1.8,0.811,0.5,2.6,3.1,2.2,0.9,0.4,1.1,1.5
129,Jrue Holiday,BOS,50,30.3,10.7,4.0,9.0,0.438,1.7,5.0,0.337,1.1,1.2,0.9,1.2,3.1,4.3,3.6,1.0,0.4,1.3,1.6
130,"B.J. Boston, Jr.",NOP,42,23.6,10.7,4.0,9.1,0.436,1.2,3.3,0.35,1.6,2.0,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7
131,Toumani Camara,POR,65,32.7,10.6,3.9,8.7,0.453,1.5,4.2,0.364,1.2,1.6,0.745,2.3,3.6,5.9,2.2,1.5,0.6,1.5,3.1
132,"Gary Trent, Jr.",MIL,58,24.9,10.6,3.7,8.5,0.436,2.3,5.5,0.418,0.8,1.0,0.842,0.3,2.0,2.3,1.1,1.0,0.1,0.6,1.8
133,Guerschon Yabusele,PHL,60,26.5,10.5,3.8,7.7,0.501,1.5,3.8,0.388,1.4,1.8,0.743,1.9,3.5,5.4,2.0,0.8,0.4,1.3,2.4
134,Tim Hardaway Jr.,DET,63,28.2,10.4,3.4,8.6,0.401,2.1,5.8,0.359,1.5,1.8,0.826,0.3,2.2,2.5,1.7,0.5,0.1,0.7,1.3
135,Derrick Jones,LAC,61,24.8,10.4,4.2,7.9,0.526,1.0,2.8,0.368,1.0,1.5,0.703,1.3,2.2,3.5,0.8,1.1,0.4,0.9,2.0
136,Grant Williams,CHA,16,29.9,10.4,3.4,7.7,0.439,1.7,4.6,0.365,1.9,2.3,0.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9
137,Spencer Dinwiddie,DAL,65,25.7,10.3,3.3,8.1,0.409,1.4,4.0,0.336,2.3,2.9,0.813,0.2,2.2,2.4,3.8,0.8,0.2,1.2,1.5
138,Andrew Nembhard,IND,48,28.8,10.3,3.9,8.2,0.471,0.8,2.5,0.311,1.8,2.2,0.794,0.5,2.6,3.2,5.1,1.4,0.2,1.8,2.4
139,Tyus Jones,PHX,65,28.2,10.3,3.8,8.5,0.443,2.0,4.9,0.413,0.7,0.8,0.885,0.5,2.0,2.4,5.8,0.9,0.1,1.3,0.9
140,Nicolas Claxton,BRK,58,27.2,10.2,4.5,8.2,0.549,0.0,0.3,0.063,1.2,2.3,0.53,2.2,5.2,7.4,2.3,0.9,1.5,1.2,2.2
141,Amir Coffey,LAC,64,25.6,10.2,3.5,7.4,0.476,1.5,3.6,0.413,1.7,1.9,0.908,0.5,1.9,2.3,1.1,0.6,0.1,0.7,1.8
142,Brandin Podziemski,GOS,50,25.4,10.1,3.8,8.9,0.427,1.4,4.3,0.319,1.1,1.5,0.757,1.0,3.8,4.9,3.4,1.1,0.2,1.1,1.5
143,Chris Boucher,TOR,50,17.2,10.0,3.6,7.4,0.492,1.4,3.9,0.363,1.4,1.7,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4
144,Ochai Agbaji,TOR,54,27.0,10.0,4.0,7.9,0.505,1.5,3.8,0.399,0.5,0.8,0.667,0.9,2.8,3.7,1.5,0.8,0.5,0.8,1.9
145,Brice Sensabaugh,UTA,55,18.7,9.9,3.6,8.0,0.449,1.9,4.8,0.392,0.8,0.9,0.92,0.6,2.1,2.7,1.4,0.5,0.1,1.4,1.4
146,Ziaire Williams,BRK,52,24.4,9.9,3.4,8.3,0.408,1.5,4.6,0.331,1.7,2.0,0.829,1.1,3.7,4.8,1.4,1.0,0.4,1.0,2.5
147,Obi Toppin,IND,61,18.9,9.9,3.8,7.1,0.532,1.2,3.4,0.338,1.1,1.4,0.805,0.7,3.2,3.9,1.5,0.6,0.3,0.8,1.4
148,Luguentz Dort,OKC,61,29.2,9.9,3.5,8.4,0.424,2.3,5.8,0.398,0.5,0.7,0.75,1.4,2.8,4.1,1.6,1.1,0.6,0.7,3.0
149,Moses Moody,GOS,58,21.2,9.9,3.3,7.4,0.447,1.7,4.5,0.39,1.5,1.9,0.782,0.7,1.8,2.5,1.2,0.6,0.4,0.7,1.5
150,Keon Johnson,BRK,64,23.8,9.8,3.5,9.5,0.373,1.4,4.9,0.293,1.3,1.7,0.774,0.8,2.8,3.7,2.0,1.0,0.4,1.3,2.5
151,Georges Niang,ATL,64,21.9,9.8,3.6,7.7,0.468,2.0,4.9,0.402,0.6,0.8,0.792,0.7,3.2,3.9,1.5,0.4,0.2,0.9,2.6
152,Luke Kennard,MEM,51,22.5,9.7,3.4,7.0,0.489,2.0,4.3,0.464,0.9,1.0,0.885,0.6,2.2,2.8,3.4,0.7,0.1,1.1,0.9
153,Cole Anthony,ORL,60,18.8,9.7,3.6,8.5,0.424,1.1,3.3,0.349,1.4,1.7,0.817,0.7,2.4,3.1,2.9,0.7,0.5,1.6,2.4
154,Julian Champagnie,SAS,64,23.2,9.5,3.3,7.9,0.416,2.0,5.7,0.357,0.9,1.0,0.906,0.8,3.0,3.8,1.3,0.8,0.4,0.9,1.3
155,T.J. McConnell,IND,61,17.9,9.5,4.2,8.1,0.523,0.2,0.7,0.31,0.8,1.0,0.746,0.5,1.9,2.4,4.5,1.2,0.3,1.4,1.0
156,Max Christie,DAL,63,27.0,9.5,3.2,7.3,0.434,1.5,4.0,0.374,1.6,1.8,0.853,0.5,2.5,3.0,2.0,0.8,0.4,1.0,1.6
157,Nick Richards,PHX,46,22.1,9.5,3.6,6.0,0.598,0.0,0.0,0.0,2.3,3.1,0.729,2.5,6.1,8.6,1.0,0.2,1.0,1.4,2.5
158,"Kevin Porter, Jr.",MIL,59,18.8,9.4,3.7,8.5,0.44,0.6,2.2,0.285,1.3,1.9,0.712,0.5,2.8,3.4,3.2,1.0,0.2,1.9,1.5
159,Julian Strawther,DEN,61,22.1,9.4,3.4,7.7,0.434,1.5,4.3,0.357,1.1,1.3,0.829,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.4
160,Royce O'Neale,PHX,60,25.4,9.4,3.3,7.7,0.431,2.4,5.8,0.415,0.3,0.4,0.731,0.8,4.0,4.8,2.2,1.0,0.5,0.9,2.0
161,Isaiah Joe,OKC,59,20.7,9.4,3.2,7.6,0.427,2.4,5.9,0.396,0.5,0.7,0.775,0.5,2.0,2.5,1.5,0.7,0.2,0.5,1.7
162,Bub Carrington,WAS,65,29.3,9.3,3.4,8.5,0.403,1.6,4.7,0.344,0.8,1.0,0.841,0.4,3.5,4.0,4.0,0.7,0.2,1.6,2.4
163,Nickeil Alexander-Walker,MIN,67,25.3,9.3,3.3,7.5,0.442,1.8,4.5,0.399,0.9,1.2,0.759,0.6,2.5,3.1,2.5,0.6,0.4,1.2,1.7
164,Miles McBride,NYK,55,24.3,9.2,3.3,8.1,0.411,1.7,4.7,0.371,0.9,1.1,0.817,0.7,1.7,2.5,2.7,1.0,0.3,0.7,1.5
165,Dalton Knecht,LAL,61,20.4,9.2,3.4,7.2,0.467,1.6,4.5,0.365,0.8,1.1,0.761,0.5,2.5,3.0,0.9,0.4,0.1,0.5,1.3
166,Zach Edey,MEM,51,20.9,9.2,3.8,6.6,0.577,0.3,0.9,0.364,1.2,1.8,0.692,3.5,4.4,7.8,0.9,0.6,1.2,1.3,2.6
167,Draymond Green,GOS,52,28.8,9.2,3.2,7.4,0.432,1.2,3.4,0.341,1.6,2.4,0.68,1.1,5.0,6.1,5.8,1.4,1.0,2.5,3.1
168,"Scotty Pippen, Jr.",MEM,65,20.2,9.1,3.4,7.1,0.471,1.0,2.6,0.36,1.5,2.1,0.706,0.8,2.4,3.2,4.2,1.3,0.4,1.7,2.5
169,Dereck Lively II,DAL,32,24.0,9.1,3.9,5.5,0.701,0.0,0.0,0.0,1.4,2.2,0.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9
170,Jalen Wilson,BRK,65,25.9,9.1,3.0,7.6,0.396,1.4,4.3,0.317,1.7,2.0,0.833,1.0,2.3,3.3,1.8,0.5,0.0,1.1,2.2
